代號,名稱,市場,股價日期,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,RSV(日),K值(日),D值(日),J值(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),+DI(日),-DI(日),ADX(日),ADXR(日),布林上軌,布林中軌,布林下軌,布林%b,布林帶寬,5日均線,10日均線,20日均線,60日均線,120日均線,外資_10/29,投信_10/29,自營_10/29,法人_10/29,外資_5日累計,外資_1月累計,外資_3月累計,投信_5日累計,投信_1月累計,投信_3月累計,美股連動,10/30預判,操作建議
4967,十銓,市,10/29,126.0,-4.0,-3.08,"2,588",327,130.0,130.0,130.0,125.5,3.46,52.7,2.79,21.4↘,58.1↘,72.2↘,30↘,52.4↘,64.7↘,12↘,11.8↗,0.3↘,39.2↘,11.5↗,58.8↘,46.8↗,150.2↗,114.7↗,79.13↗,0.66↘,0.62↘,129.9↘,129↗,114.7↗,89.25↗,81.42↗,-58,0,-212,-270,-172,"+9,259","+8,312",+169,+422,+422,MU/WDC,➡️中性-觀察,中性觀望
2344,華邦電,市,10/29,54.0,0.0,0.0,"70,727","3,805",54.0,54.4,54.5,51.9,4.81,,2.77,96.3↘,90.7↗,84.5↗,103↗,85.9→,80.5→,5.6↗,4.99↗,1.22↗,49.9↘,8.36↘,61.5↗,62↗,54.73↗,42.73↗,30.74↗,0.97↘,0.56↗,50.13↗,46.96↗,42.73↗,29.24↗,23.76↗,"+10,721","-2,084",-312,"+8,325","+56,012","+70,277","+417,785","-1,953","+40,275","+172,806",MU/WDC,⚠️超買-注意回檔,減碼/觀望
3711,日月光投控,市,10/29,221.0,18.0,8.87,"43,197","9,307",203.0,205.0,222.5,204.5,8.87,28.0,3.27,96.5↗,91.6↗,87.1↗,101↗,87.6↗,80.9↗,10.8↗,8.13↗,5.36↗,51.2↗,9.46↘,40.8↗,34.9↗,216.2↗,183.4↗,150.6↘,1.07↗,0.36↗,203.1↗,197.6↗,183.4↗,165.6↗,155.9↗,"+3,310",-392,"+1,412","+4,329","+24,644","+80,477","+78,996",+111,"-9,179","-6,754",-,⚠️超買-注意回檔,減碼/觀望
2882,國泰金,市,10/29,64.8,0.0,0.0,"11,905",774,64.8,65.2,65.4,64.8,0.93,11.2,1.37,8→,18.2↘,26.2↘,2.36↘,32→,43.8→,0.13↘,0.27↘,-0.28↘,21.4↘,18.7↘,21.2↘,22↘,66.31↗,65.44↘,64.57↘,0.13↗,0.03↗,65.34↘,65.51↘,65.44↘,64.53↗,63.86↗,"+3,029",-14,-263,"+2,752","-2,939","+29,722","+67,897","-1,137","-20,065","+33,732",-,💡超賣-觀察反彈,觀察進場點
2891,中信金,市,10/29,42.0,0.1,0.24,"32,465","1,369",41.9,41.95,42.5,41.95,1.31,11.6,1.91,7.69↗,19↘,27.8↘,1.42↘,40.9↗,43.1↗,-0.12↘,-0.07↘,-0.1↘,24.7↘,23.4↘,10.4↘,13↘,43.07↗,42.44↘,41.8↘,0.15↗,0.03↗,42.12↘,42.3↘,42.44↘,42.53↗,42.52↗,"+1,810",+166,"-1,826",+151,"-16,277","-40,334","-71,797","-17,845","-60,580","+25,362",-,⚠️偏空-觀望,觀望/停損
2884,玉山金,市,10/29,30.2,0.2,0.67,"137,943","4,145",30.0,30.05,30.3,29.95,1.17,16.1,1.95,9.68↗,17.3↘,25.4↘,1.3↘,19.6↗,25.3↗,-0.65↘,-0.39↘,-0.53↘,6.86↘,43.7↘,36.8↗,27↗,34.31↗,32.37↘,30.44↘,-0.06↗,0.12↗,31.15↘,31.84↘,32.37↘,33.16↘,32.54↗,-630,"-3,457","+1,250","-2,837","-171,167","-160,716","-107,675","-14,358","-31,028","-35,957",-,💡超賣-觀察反彈,觀察進場點
2880,華南金,市,10/29,29.55,0.1,0.34,"10,945",323,29.45,29.45,29.7,29.35,1.19,17.4,1.89,30.8↗,49.5↘,64.6↘,19.3↘,45.8↗,52.9↗,0.15↘,0.17↘,-0.03↘,17.7↘,20.4↗,13.2↘,19.3↘,29.99↗,29.5↗,29.01↗,0.55↗,0.03↘,29.68↘,29.7↗,29.5↗,29.08↗,28.32↗,"+3,424",+18,"-1,882","+1,560","+14,573","+35,308","+55,970","-3,002",+629,"+34,104",-,➡️中性-觀察,中性觀望
0050,元大台灣50,市,10/29,64.4,1.05,1.66,"67,414","4,327",63.35,63.7,64.45,63.7,1.18,,1.003,98.1↗,89.1↗,86.1↗,95.1↗,71.8↗,71.4↗,1.8↗,1.74↗,0.11↗,47.7↗,20.8↘,37.1↗,36.3↗,65.39↗,61.42↗,57.44↗,0.88↗,0.13↘,63.32↗,62.98↗,61.42↗,56.31↗,83.01↘,"-4,417","+1,400","+8,235","+5,219","-223,829","-749,692","-1,108,105","+11,600","+30,391","-16,038",-,➡️中性-觀察,中性觀望
00878,國泰永續高股息,市,10/29,21.76,0.1,0.46,"46,363","1,010",21.66,21.75,21.85,21.74,0.51,,0.995,83↗,79.1↗,72.6↗,92.1↘,75.7↗,69.9↗,0.16↗,0.14↗,0.04↗,43↗,19.7↘,25.3↗,25.3↗,21.75↗,21.42↗,21.08↘,1.01↗,0.03↗,21.64↗,21.5↗,21.42↗,21.05↗,20.96↗,"+13,162",+560,"+12,114","+25,836","+22,732","+119,181","+247,233",+560,+560,"+7,170",-,✅偏多-續強,持有/加碼
006208,富邦台50,市,10/29,150.95,2.5,1.68,"4,680",704,148.45,149.7,151.25,149.7,1.04,,1.0022,95.6↗,87.9↗,85.3↗,93.1↗,73.1↗,72↗,4.59↗,4.52↗,0.14↗,49.5↗,19.1↘,45.3↘,45.4↗,153.2↗,143.5↗,133.8↗,0.88↗,0.14↗,148.3↗,147.3↗,143.5↗,131.6↗,121.5↗,+564,0,+645,"+1,209","-3,285","-8,609","+20,371",-180,+9,-464,-,➡️中性-觀察,中性觀望
