代號,名稱,成交,漲跌幅,RSI6(日),K值(日),D值(日),DIF(日),OSC(日),5日均線,20日均線,60日均線,外資買賣超張數,外資5日累計,投信買賣超張數,投信5日累計,券資比(%),技術面評分,籌碼面評分,綜合評分,趨勢,技術訊號,籌碼訊號,美股連動,11/11預測方向,目標區間,短期策略_2週,中期策略_1月,風險控管,反彈潛力,風險等級,推薦評等,關鍵支撐,關鍵壓力,投資觀點
2317,鴻海,249.5,2.25,56,41.5,49.8,8.01,-1.8,246.5,239.7,221,-2117,-9044,642,-300,5.79,6.5,4.5,5.7,中性,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭,外資賣超 | 外資持續賣超 | 投信買超,,震盪偏弱,247.0-277.3,持有觀察,持續觀察,停損: 241.57 | 目標: 274.62,★,中,⭐⭐⭐,246.5,271.9,中性持有：中性整理中，觀察後續發展
3008,大立光,2245,1.81,57.1,48.3,36.5,-31.8,1.72,2215,2236,2324,53,-54,4,33,0.93,5.7,5.5,5.6,中性,KD轉多 | RSI健康 | MACD黃金交叉 | 站穩月線 | 布林中性,外資中性 | 外資累計中性 | 投信中性 | 籌碼健康,,震盪偏弱,2222.6-2347.0,持有觀察,逢低分批,停損: 2191.28 | 目標: 2324.01,★,中,⭐⭐⭐,2236,2301,中性持有：中性整理中，觀察後續發展
3231,緯創,138.5,0.73,39.4,29.6,36.4,1.57,-3.71,138.9,143,129.3,-2543,-2540,327,-13686,3.28,3.5,6,4.5,偏弱,MACD多頭 | DMI強勢多頭,外資賣超 | 外資累計中性 | 投信買超 | 籌碼健康,,反彈修復,134.3-139.9,觀察進場點,反彈佈局點,停損: 129.95 | 目標: 140.29,★★★,中高,⭐⭐,132.6,138.9,謹慎觀望：偏弱，等待明確訊號
50,元大台灣50,63.35,1.28,50.9,42.4,56.3,1.18,-0.66,63.26,63.05,57.89,,,,,,7.2,0,4.3,偏弱,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林中性,-,,續弱整理,61.4-64.0,暫不進場,等待明確訊號,停損: 61.99 | 目標: 65.83,★,中高,⭐⭐,63.26,65.18,謹慎觀望：偏弱，等待明確訊號
2308,台達電,982,1.76,45.1,26.9,27.6,20.3,-30.8,973.4,1009,862.2,-1091,-8194,251,920,11.9,4.5,3.5,4.1,偏弱,RSI健康 | MACD多頭 | DMI強勢多頭,外資賣超 | 外資持續賣超 | 投信中性,,續弱整理,952.5-991.8,觀察進場點,反彈佈局點,停損: 953.93 | 目標: 1019.09,★★,中高,⭐⭐,973.4,1009,謹慎觀望：偏弱，等待明確訊號
2882,國泰金,63.8,0.47,38.8,17.2,19.4,-0.32,-0.36,64.14,64.96,64.7,570,-6096,614,1514,6.87,3.5,4.5,3.9,偏弱,💡KD超賣 | 🔵布林超賣,外資中性 | 外資持續賣超 | 投信買超,,反彈修復,61.9-64.4,觀望為主,不建議進場,停損: 62.12 | 目標: 64.78,★★★★★,高,⭐,63.39,64.14,不建議：偏弱，風險較高
2884,玉山金,29.5,-0.34,21.9,13.8,16.7,-0.86,-0.19,29.93,31.16,32.76,-8912,-69068,-1119,971,0.86,5,2,3.8,偏弱,💡KD超賣 | 💡RSI超賣 | 🔵布林超賣,⚠️外資大賣 | 外資持續大賣 | 投信大賣 | 籌碼健康,,續弱整理,28.6-29.8,觀望為主,不建議進場,停損: 27.96 | 目標: 30.23,★★★★★,高,⭐,28.53,29.93,不建議：偏弱，風險較高
3491,昇達科,429.5,-0.35,45.6,42.7,36,-2.61,-5.43,427.6,438.8,421.8,-174,-297,38,137,4.03,2.5,5.5,3.7,偏弱,KD轉多 | RSI健康,外資中性 | 外資累計中性 | 投信中性 | 籌碼健康,,反彈修復,416.6-433.8,觀望為主,不建議進場,停損: 419.05 | 目標: 443.19,★,高,⭐,427.6,438.8,不建議：偏弱，風險較高
6208,富邦台50,148,1.2,49.3,38,53.9,2.97,-1.72,148,147.5,135.3,,,,,,6.2,0,3.7,偏弱,RSI健康 | MACD多頭 | 站穩月線 | DMI強勢多頭 | 布林中性,-,,續弱整理,143.6-149.5,觀望為主,不建議進場,停損: 144.55 | 目標: 154.33,★,高,⭐,147.5,152.8,不建議：偏弱，風險較高
2301,光寶科,169,1.5,40.6,19.5,30.5,2.08,-3.92,168.7,172.1,156.8,-1287,-7369,177,-3340,2.01,3.2,4,3.5,偏弱,MACD多頭 | 布林中性,外資賣超 | 外資持續賣超 | 投信中性 | 籌碼健康,,反彈修復,163.9-170.7,觀望為主,不建議進場,停損: 165.33 | 目標: 173.82,★★★,高,⭐,168.7,172.1,不建議：偏弱，風險較高
2454,聯發科,1250,-0.79,25.8,18.1,30.2,-21.3,-6.06,1289,1311,1366,-1498,-4548,-82,69,2.47,3,4,3.4,偏弱,💡RSI超賣 | 🔵布林超賣,外資賣超 | 外資持續賣超 | 投信中性 | 籌碼健康,,反彈修復,1212.5-1262.5,觀望為主,不建議進場,停損: 1238.72 | 目標: 1301.89,★★★★★,高,⭐,1264,1289,不建議：偏弱，風險較高
878,國泰永續高股息,21.34,0.05,31.2,34.3,47.3,0.06,-0.1,21.45,21.5,21.1,,,,,,2.5,0,1.5,弱勢,MACD多頭,-,,偏空觀望,20.7-21.6,觀望為主,不建議進場,停損: 20.73 | 目標: 21.66,★★,高,⭐,21.15,21.45,不建議：弱勢，風險較高
