代號,名稱,市場,股價日期,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,K值(日),D值(日),J值(日),RSI6(日),RSI12(日),RSI6(週),RSI12(週),RSI6(月),RSI12(月),DIF(日),MACD(日),OSC(日),ADX(日),#NAME?,#NAME?,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買賣超張數,美股連動,美股Nasdaq,美股SPX,技術面評分,KD狀態,RSI狀態,法人動向,10/31預判,操作建議,風險等級
4967,十銓,市,10月30日,128,2,1.59,2367,305,126,128,131,127,3.17,53.6,2.84,46,63.5,11,56.6,66.4,92.2,83.8,82.5,68.9,11.4,11.7,-0.63,58.5,38.1,10.8,92,239,-147,0,0,0,12,19,-8,-154,MU,-1.57,-0.99,5,中性,中性,法人中性,➡️ 中性觀察,中性觀望,低
2344,華邦電,市,10月30日,55.2,1.2,2.22,74032,4097,54,55.7,57,53.4,6.67,,2.83,89.3,86.1,95.8,87.5,81.6,95.2,90.7,90.1,80.5,5.87,5.17,1.41,62.4,51.7,7.58,25072,27494,-2422,15,361,-346,5314,1927,3387,619,MU,-1.57,-0.99,1.5,超買,超買,外資大賣,⚠️ 超買-注意回檔,減碼/設停利,高
3711,日月光投控,市,10月30日,225,4,1.81,46444,10387,221,220,227.5,219,3.85,28.6,3.33,92.2,88.8,99,89,82.2,93.8,84.4,85,75.2,12.4,8.98,6.77,43,51.8,8.7,30760,22420,8340,106,758,-652,744,1199,-455,7233,NVDA/AMD,-1.57,-0.99,3.5,超買,超買,外資大買,⚠️ 超買-注意回檔,減碼/設停利,高
2882,國泰金,市,10月30日,64.6,-0.2,-0.31,18428,1189,64.8,64.8,65.1,64.1,1.54,11.2,1.37,18.6,23.6,8.43,28.4,41.8,47.8,50.8,58.3,58.9,0.05,0.22,-0.35,20.1,19.9,22.3,9326,7213,2113,0,3178,-3178,617,370,247,-818,-,-1.57,-0.99,8.5,超賣,超賣,外資大買,💡 超賣-觀察反彈,觀察進場點,中
2891,中信金,市,10月30日,41.95,-0.05,-0.12,29270,1227,42,42,42.15,41.75,0.95,11.6,1.91,17.3,24.3,3.23,39.5,42.4,41.6,49.2,61.1,65.3,-0.14,-0.08,-0.12,9.79,23.5,24.7,15572,16273,-701,300,4813,-4513,857,1479,-622,-5836,-,-1.57,-0.99,6.3,超賣,偏低,外資賣超,💡 超賣-觀察反彈,觀察進場點,中
2884,玉山金,市,10月30日,29.8,-0.4,-1.32,106586,3192,30.2,30.2,30.2,29.8,1.32,15.9,1.92,11.6,20.8,-6.84,16.8,23.1,18.9,35,44.9,52.5,-0.75,-0.46,-0.58,39.4,6.51,43.4,16880,57126,-40246,28,2979,-2951,580,276,304,-42893,-,-1.57,-0.99,6.5,超賣,超賣,外資大賣,💡 超賣-觀察反彈,觀察進場點,中
2880,華南金,市,10月30日,29.3,-0.25,-0.85,15501,456,29.55,29.7,29.7,29.2,1.69,17.2,1.88,37.2,55.4,0.62,33,45.1,53.4,56.9,67.4,66,0.13,0.16,-0.07,13.2,16,21.3,13661,12696,965,33,83,-50,365,1005,-640,275,-,-1.57,-0.99,5.8,中性,偏低,外資買超,➡️ 偏弱-等待,等待訊號,中
0050,元大台灣50,市,10月30日,64.4,0,0,95107,6126,64.4,64.6,64.8,64,1.24,,1.0025,88.3,86.8,91.4,71.8,71.4,60,33.5,24.7,29.2,1.81,1.76,0.12,37.4,47.4,19.6,928,26781,-25853,0,0,0,14553,29322,-14769,-40622,-,-1.57,-0.99,1.5,超買,超買,外資大賣,⚠️ 超買-注意回檔,減碼/設停利,高
00878,國泰永續高股息,市,10月30日,21.75,-0.01,-0.05,51447,1115,21.76,21.74,21.76,21.61,0.69,,0.9963,79.5,74.9,88.8,74,69.2,73.5,61.5,57.9,54.6,0.16,0.14,0.04,25.4,40.4,23.9,855,3241,-2386,0,0,0,11399,18441,-7042,-9428,-,-1.57,-0.99,2.5,偏高,超買,外資大賣,✅ 偏多-續強,持有/加碼,低
006208,富邦台50,市,10月30日,150.9,-0.05,-0.03,4419,667,150.95,151,151.65,150.05,1.06,,1.0013,88.4,86.3,92.6,72.7,71.8,96,87.9,87.2,80.4,4.62,4.54,0.16,45.3,48.3,18.2,134,430,-296,0,65,-65,1495,1769,-275,-636,-,-1.57,-0.99,2.5,超買,超買,法人中性,⚠️ 超買-注意回檔,減碼/設停利,高
